"engine.time","calcium.Ca_i"
 1.15438318721264949e+02, 2.35522173499434084e-04
 1.15888272775865417e+02, 2.37543253807248438e-04
 1.16338226830465885e+02, 2.39691147283969057e-04
 1.16788180885066353e+02, 2.41980384971933059e-04
 1.17238134939666821e+02, 2.44444732187826122e-04
 1.17688088994267289e+02, 2.47081017642445137e-04
 1.17950208798528053e+02, 2.48686138304929328e-04
 1.18126160653186986e+02, 2.49798817496749950e-04
 1.18302112507845919e+02, 2.50944792101894887e-04
 1.18478064362504853e+02, 2.52120019907768676e-04
 1.18654016217163786e+02, 2.53326840372105678e-04
 1.18829968071822719e+02, 2.54568172915763569e-04
 1.19005919926481653e+02, 2.55837562061472475e-04
 1.19181871781140586e+02, 2.57134351818847121e-04
 1.19357823635799519e+02, 2.58465919095327229e-04
 1.19533775490458453e+02, 2.59830447213220623e-04
 1.19709727345117386e+02, 2.61222862444433605e-04
 1.19885679199776320e+02, 2.62650672457501156e-04
 1.20061631054435253e+02, 2.64117964138249671e-04
 1.20237582909094186e+02, 2.65615102548370102e-04
 1.20413534763753120e+02, 2.67141884283399200e-04
 1.20589486618412053e+02, 2.68703676907072568e-04
 1.20706850384942442e+02, 2.69763197264113964e-04
 1.20824214151472830e+02, 2.70834813210029009e-04
 1.20941577918003219e+02, 2.71920482561950453e-04
 1.21058941684533607e+02, 2.73021164341025354e-04
 1.21176305451063996e+02, 2.74136235741334459e-04
 1.21359245880466503e+02, 2.75902075935724196e-04
 1.21542186309869010e+02, 2.77700675193565366e-04
 1.21725126739271516e+02, 2.79530836173860894e-04
 1.21908067168674023e+02, 2.81391506230767134e-04
 1.22251775240034661e+02, 2.84967385182450779e-04
 1.22791717080306412e+02, 2.90778991274426529e-04
 1.23331658920578164e+02, 2.96798842548242194e-04
 1.23871600760849915e+02, 3.02987376836666965e-04
 1.24411542601121667e+02, 3.09302899439048266e-04
 1.24951484441393418e+02, 3.15704399143182954e-04
 1.25785569632721206e+02, 3.25667999184221443e-04
 1.26619654824048993e+02, 3.35595462221285011e-04
 1.27453740015376781e+02, 3.45361832911922459e-04
 1.28287825206704582e+02, 3.54868925117058525e-04
 1.29121910398032384e+02, 3.64035327537603505e-04
 1.29955995589360185e+02, 3.72795952298975500e-04
 1.30790080780687987e+02, 3.81111093249588231e-04
 1.31624165972015788e+02, 3.88959983733428620e-04
 1.32458251163343590e+02, 3.96319237577468398e-04
 1.33292336354671392e+02, 4.03180886590542192e-04
 1.34126421545999193e+02, 4.09559489525890567e-04
 1.34960506737326995e+02, 4.15453052392062783e-04
 1.35794591928654796e+02, 4.20852701964905733e-04
 1.36628677119982598e+02, 4.25801986537746417e-04
 1.37462762311310399e+02, 4.30348908736133157e-04
 1.38296847502638201e+02, 4.34497662375885095e-04
 1.39130932693966002e+02, 4.38257136985598973e-04
 1.39965017885293804e+02, 4.41670466027316527e-04
 1.40799103076621606e+02, 4.44759553582308278e-04
 1.41633188267949407e+02, 4.47523643847923020e-04
 1.42467273459277209e+02, 4.50010277049865508e-04
 1.43301358650605010e+02, 4.52254021825897017e-04
 1.44135443841932812e+02, 4.54249848041878793e-04
 1.44969529033260613e+02, 4.56021911323980611e-04
 1.45803614224588415e+02, 4.57634029125611377e-04
 1.46637699415916217e+02, 4.59070408708407241e-04
 1.47471784607244018e+02, 4.60297803704093160e-04
 1.48305869798571820e+02, 4.61366174983881714e-04
 1.49139954989899621e+02, 4.62316929826918094e-04
 1.49974040181227423e+02, 4.63130869037549516e-04
 1.50808125372555224e+02, 4.63820397484163952e-04
 1.51642210563883026e+02, 4.64425681531940068e-04
 1.52476295755210828e+02, 4.64934364934973155e-04
 1.53310380946538629e+02, 4.65326672815258270e-04
 1.54144466137866431e+02, 4.65632212873264700e-04
 1.54978551329194232e+02, 4.65870059814476516e-04
 1.55812636520522034e+02, 4.66031812116009421e-04
 1.56646721711849835e+02, 4.66123197116509349e-04
 1.57480806903177637e+02, 4.66153761118028053e-04
 1.58314892094505439e+02, 4.66131831484944915e-04
 1.59148977285833240e+02, 4.66059219459690280e-04
 1.59983062477161042e+02, 4.65937769882220619e-04
 1.60817147668488843e+02, 4.65771217813634665e-04
 1.61651232859816645e+02, 4.65563191541943115e-04
 1.62485318051144446e+02, 4.65315843492309256e-04
 1.63319403242472248e+02, 4.65031778831039618e-04
 1.64153488433800050e+02, 4.64713879822505548e-04
 1.64987573625127851e+02, 4.64364943090183843e-04
 1.65821658816455653e+02, 4.63986900470791193e-04
 1.67296158924534637e+02, 4.63253451164887138e-04
 1.68770659032613622e+02, 4.62444580152609661e-04
 1.70245159140692607e+02, 4.61569370301445809e-04
 1.72535602824491036e+02, 4.60095517304204022e-04
 1.74826046508289465e+02, 4.58504516787843191e-04
